AVG less than VIX,,,,,,,,,,AVG less than VIX,,,,,,,,,AVG more than VIX,,,,,,,
Range < VIX,,,,,,,,,,Range > VIX,,,,,,,,,Range < VIX,,,,,,,
XLF,52.44,138682,12.18,49.97,17.50%,37.79,31.075,,,SOXL,66.85,197930,70.11,218.69,112%,148.58,144.4,,,,,,,,,
AGNC,11.46,22046,12.22,57.64,21.30%,45.42,34.93,,,KWEB,32.72,187299,13.3,75.24,31.70%,61.93,44.27,,,,,,,,,
XLB,52.85,11009,12.41,48.04,21.90%,35.64,30.225,,,CIFR,14.64,156778,60.47,268.43,108.90%,207.96,164.45,,,,,,,,,
KO,79.67,60636,12.46,35.64,17%,23.19,24.05,,,IGV,80.79,117619,16.78,69.67,34.90%,52.88,43.225,,,,,,,,,
EWG,44.33,6917,12.5,51.93,16.10%,39.43,32.215,,,ASTS,80.28,106194,56.85,187.22,109.40%,130.37,122.035,,,,,,,,,
MO,67.68,21420,12.83,40.65,19.70%,27.82,26.74,,,WULF,14.95,103440,16.13,237.09,109.10%,220.97,126.61,,,,,,,,,
MDT,97.02,10531,13.07,46.48,20%,33.41,29.775,,,BE,147.95,103303,60.24,154.55,118.80%,94.31,107.395,,,,,,,,,
ASHR,34.01,55282,13.1,51.76,21.20%,38.66,32.43,,,IBRX,8.7,94173,61.21,245.37,150.70%,184.16,153.29,,,,,,,,,
DUK,127,7696,13.91,38.13,16.10%,24.22,26.02,,,ARKK,71.6,90336,28.96,89.21,43.70%,60.25,59.085,,,,,,,,,
VZ,49.16,60143,13.94,44.88,19.70%,30.94,29.41,,,SQQQ,70.3,81126,43.01,160.01,64.70%,117,101.51,,,,,,,,,
PG,160.71,29957,14.27,55.92,17.80%,41.65,35.095,,,UVIX,6.15,74075,75.37,394.17,154.70%,318.8,234.77,,,,,,,,,
PPL,37.35,9925,14.88,36.81,19.40%,21.92,25.845,,,EOSE,10.72,65778,37.88,164.33,118.50%,126.45,101.105,,,,,,,,,
EXC,47.79,8530,15,42.48,18.20%,27.48,28.74,,,BKLN,20.54,64765,2.78,100.33,11.30%,97.55,51.555,,,,,,,,,
CSCO,79.23,61298,15.1,43.04,22%,27.94,29.07,,,LQD,111.56,62884,4.31,78.24,5%,73.93,41.275,,,,,,,,,
ABT,112.21,21916,15.39,46.69,21%,31.3,31.04,,,UVXY,38.7,59798,69.35,306.66,114.80%,237.31,188.005,,,,,,,,,
BTI,62.08,5405,15.5,39.84,22.20%,24.34,27.67,,,LCID,9.58,40923,19.1,177.52,111.10%,158.41,98.31,,,,,,,,,
KBWB,86.83,5167,15.69,53.8,23.70%,38.1,34.745,,,XOP,152.01,39207,21.46,77.89,34.70%,56.43,49.675,,,,,,,,,
T,28.01,66527,16.15,50.23,22%,34.08,33.19,,,FRMI,9.19,37706,64.2,426.34,167.60%,362.14,245.27,,,,,,,,,
IWM,264.47,1923789,16.27,55.97,23.10%,39.7,36.12,,,RCAT,12.5,37522,54.77,265.09,123.80%,210.32,159.93,,,,,,,,,
PEP,165,23962,16.39,37.88,19.80%,21.49,27.135,,,HUT,53.79,36473,54.75,176.94,112%,122.19,115.845,,,,,,,,,
XLE,54.99,338667,16.43,55.59,28%,39.17,36.01,,,KVUE,18.62,34346,17.57,97.78,22.30%,80.21,57.675,,,,,,,,,
EWZ,39.5,170472,17.53,54.87,30.30%,37.34,36.2,,,TNA,54.94,32812,45.25,150,68.50%,104.75,97.625,,,,,,,,,
40,,,,,,,,,,ET,18.95,31408,10.84,71.77,21.10%,60.93,41.305,,,,,,,,,
,,,,,,,,,,LUNR,17.51,30599,43.14,321.29,120.10%,278.15,182.215,,,,,,,,,
,,,,,,,,,,AGQ,158.93,30030,43.17,258.88,161.30%,215.72,151.025,,,,,,,,,
,,,,,,,,,,UAMY,7.38,29349,86.96,219.8,121.60%,132.84,153.38,,,,,,,,,
,,,,,,,,,,FROG,37.94,28734,22.06,165.74,120.10%,143.68,93.9,,,,,,,,,
,,,,,,,,,,SEI,49.86,26416,55.12,155.5,116.40%,100.38,105.31,,,,,,,,,
,,,,,,,,,,AAOI,51.63,25088,84.08,196.43,128.70%,112.35,140.255,,,,,,,,,
,,,,,,,,,,GUSH,30.96,24957,41.15,138.31,69.20%,97.16,89.73,,,,,,,,,
,,,,,,,,,,GRAL,49.36,24864,43.46,467.55,224%,424.1,255.505,,,,,,,,,
,,,,,,,,,,FIGR,29.13,24318,49.73,151.78,121.10%,102.06,100.755,,,,,,,,,
,,,,,,,,,,AXTI,29.9,22728,63.31,605.82,146.50%,542.51,334.565,,,,,,,,,
,,,,,,,,,,STUB,9.42,22564,70.52,164.48,130.10%,93.96,117.5,,,,,,,,,
,,,,,,,,,,XRT,88.82,20612,17.07,89.84,24.80%,72.76,53.455,,,,,,,,,
,,,,,,,,,,XLK,140.88,19756,16.83,64.71,26.50%,47.88,40.77,,,,,,,,,
,,,,,,,,,,LQDA,33.7,19146,39.36,249.07,156.70%,209.71,144.215,,,,,,,,,
,,,,,,,,,,UPRO,117.25,18020,29.21,132.52,44.40%,103.31,80.865,,,,,,,,,
,,,,,,,,,,YINN,42.76,16747,47.46,208.41,72.80%,160.96,127.935,,,,,,,,,
,,,,,,,,,,TMC,5.89,15768,64.81,259.3,116.40%,194.48,162.055,,,,,,,,,
,,,,,,,,,,SIL,107.79,15678,30.4,81.65,60%,51.24,56.025,,,,,,,,,
,,,,,,,,,,TZA,6.02,15314,43.02,184.51,71.60%,141.49,113.765,,,,,,,,,
,,,,,,,,,,COPX,89.26,15160,22.2,77.79,49.80%,55.59,49.995,,,,,,,,,
,,,,,,,,,,CRML,9.05,14269,73.69,649.41,118.80%,575.73,361.55,,,,,,,,,
,,,,,,,,,,RDW,8.01,14051,62.86,137.35,121.10%,74.49,100.105,,,,,,,,,
,,,,,,,,,,UL,73.23,13478,14.09,61.55,18%,47.46,37.82,,,,,,,,,
,,,,,,,,,,TE,6.25,13165,67.4,271.25,122.20%,203.85,169.325,,,,,,,,,
,,,,,,,,,,ENVX,5.96,12642,34.7,201.06,115.40%,166.35,117.88,,,,,,,,,
,,,,,,,,,,NLY,23.09,12455,11.13,142.76,20.30%,131.63,76.945,,,,,,,,,
,,,,,,,,,,PAGP,22.27,12229,10.18,88.41,18.70%,78.23,49.295,,,,,,,,,
,,,,,,,,,,MSTU,5.07,12139,66.21,339.63,147.90%,273.42,202.92,,,,,,,,,
,,,,,,,,,,JETS,29.4,11995,22.81,97.34,34.70%,74.54,60.075,,,,,,,,,
,,,,,,,,,,AMDL,12.36,11974,21.12,266.49,112%,245.37,143.805,,,,,,,,,
,,,,,,,,,,PL,23.81,11972,61.96,168.66,127.20%,106.7,115.31,,,,,,,,,
,,,,,,,,,,CONL,7.37,11728,67.83,330.87,145.30%,263.04,199.35,,,,,,,,,
,,,,,,,,,,FEZ,69.44,11691,7.85,130.69,18.70%,122.85,69.27,,,,,,,,,
,,,,,,,,,,BTDR,7.87,11473,57.58,273.61,109.90%,216.03,165.595,,,,,,,,,
,,,,,,,,,,OCUL,7.64,10536,39.36,353.91,110.40%,314.55,196.635,,,,,,,,,
,,,,,,,,,,FLY,20.04,9750,29.9,179.97,135.80%,150.07,104.935,,,,,,,,,
,,,,,,,,,,REAL,11.02,9278,53.16,159.14,111.20%,105.98,106.15,,,,,,,,,
,,,,,,,,,,HYMC,41.89,9000,39.45,194.51,137.40%,155.07,116.98,,,,,,,,,
,,,,,,,,,,EPD,36.45,8818,10.31,126.42,21.20%,116.11,68.365,,,,,,,,,
,,,,,,,,,,NUGT,264.41,8545,50.21,125.44,96.10%,75.22,87.825,,,,,,,,,
,,,,,,,,,,FNKO,5.3,8237,57.99,277.62,157.50%,219.63,167.805,,,,,,,,,
,,,,,,,,,,MAGS,62.66,8155,14.42,66.32,26.80%,51.89,40.37,,,,,,,,,
,,,,,,,,,,FJET,8.78,7924,122.59,273.29,178.70%,150.7,197.94,,,,,,,,,
,,,,,,,,,,SOC,8.9,7612,61.37,251.28,142%,189.91,156.325,,,,,,,,,
,,,,,,,,,,SPXL,223.37,7513,30.88,141.54,45%,110.66,86.21,,,,,,,,,
,,,,,,,,,,PAA,20.98,7256,12.26,182.53,19.70%,170.26,97.395,,,,,,,,,
,,,,,,,,,,XLY,117.38,6264,14.57,62.71,21.30%,48.13,38.64,,,,,,,,,
,,,,,,,,,,ASST,8.22,5947,17.36,751.66,121.70%,734.31,384.51,,,,,,,,,
,,,,,,,,,,ATOM,7.27,5908,20.89,466.28,136.60%,445.39,243.585,,,,,,,,,
,,,,,,,,,,INFQ,13,5564,50.65,248.35,120.60%,197.7,149.5,,,,,,,,,
,,,,,,,,,,ASPI,5.13,5516,51.53,222.31,115.80%,170.78,136.92,,,,,,,,,
,,,,,,,,,,AMPX,9.57,5508,65.46,243.42,112.10%,177.95,154.44,,,,,,,,,
,,,,,,,,,,SPXS,34.68,5404,29.38,144.61,48.50%,115.23,86.995,,,,,,,,,
,,,,,,,,,,ASTX,39.08,5007,133.13,261.31,216.90%,128.18,197.22,,,,,,,,,
,,,,,,,,,,82,,,,,,,,,,,,,,,,
